,Tweet id,Tweet permalink,Tweet text,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements,promoted impressions,promoted engagements,promoted engagement rate,promoted retweets,promoted replies,promoted likes,promoted user profile clicks,promoted url clicks,promoted hashtag clicks,promoted detail expands,promoted permalink clicks,promoted app opens,promoted app installs,promoted follows,promoted email tweet,promoted dial phone,promoted media views,promoted media engagements,Month
14,1117842575371699968,https://twitter.com/canadabusiness/status/1117842575371702272,"#SMEs are the backbone of our economy. When we support them, everyone benefits. #InvestInCanada https://t.co/xpRb8q6MSr https://t.co/MFNYJFCiq8",2019-04-15 17:30 +0000,3932,48,0.0122075279755849,5,1,12,3,11,5,6,0,0,0,0,0,0,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
15,1117770317286530048,https://twitter.com/canadabusiness/status/1117770317286531072,Tune in to our Facebook page today at 9:15 a.m (ET) to hear Minister Ng make a special announcement in support of ðŸ‡¨ðŸ‡¦ #womenentrepreneurs. https://t.co/sqjyprhMzN,2019-04-15 12:43 +0000,1830,13,0.00710382513661202,0,0,1,2,7,1,2,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
16,1117769786992230016,https://twitter.com/canadabusiness/status/1117769786992230406,Tune in to our Facebook page today at 9:15 a.m (ET) to hear Minister Ng make a special announcement in support of ðŸ‡¨ðŸ‡¦#womenentrepreneurs. https://t.co/kwMcNVZ7dU,2019-04-15 12:40 +0000,1687,7,0.00414937759336099,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
17,1116728970391750016,https://twitter.com/canadabusiness/status/1116728970391752707,ATTN all #business owners! Considering the risks that could negatively affect your business should always be a priority. Get practical tips on risk management: https://t.co/foyqE4lqSS #BizTip https://t.co/XbouNdmJbJ,2019-04-12 15:45 +0000,2665,19,0.00712945590994371,1,0,2,2,8,2,3,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
18,1116366572229149952,https://twitter.com/canadabusiness/status/1116366572229156869,Are you looking to grow your #business? Find government supports to help: https://t.co/SUA7mR40Zg #InnovationCanada https://t.co/5hDV3S9rMM,2019-04-11 15:45 +0000,3859,40,0.010365379632029,4,0,5,4,14,5,4,0,0,0,0,0,0,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
19,1116030674274780032,https://twitter.com/canadabusiness/status/1116030674274783232,Does your organization provide #digitalskills learning opportunities to Canadian youth or their teachers? Learn how you can get funding through #CanCode: https://t.co/FTxYgSh3eA https://t.co/fuscTgE1WX,2019-04-10 17:30 +0000,2329,13,0.0055817947617003,3,0,2,0,5,1,2,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
20,1116004193465190016,https://twitter.com/canadabusiness/status/1116004193465196546,"#DYK a single nine-digit number can identify your #business to municipal, provincial and federal governments? Find out if you need a business number: https://t.co/GPWn0Sp9dU #startup https://t.co/SO65Zeesl0",2019-04-10 15:45 +0000,1912,9,0.00470711297071129,0,0,1,1,2,1,3,0,0,0,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
21,1115641896771120000,https://twitter.com/canadabusiness/status/1115641896771125248,"Funding, advice and everything else government can do for your business â€“ all in one place. #InnovationCanada https://t.co/vK7CzZZy7W",2019-04-09 15:45 +0000,5451,35,0.00642084021280498,6,0,9,0,0,7,5,0,0,0,0,0,0,534,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
22,1115323090634979968,https://twitter.com/canadabusiness/status/1115323090634981376,Minister Ng was in #Halifax to meet with #smallbiz owners to talk about their importance to the Canadian economy and highlight the significant support the #GoC is providing them. https://t.co/N0UlbI6TUF https://t.co/jWN7YPxl3t,2019-04-08 18:38 +0000,2925,11,0.00376068376068376,2,1,3,0,1,0,0,0,0,0,0,0,0,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
23,1114233784122130048,https://twitter.com/canadabusiness/status/1114233784122130434,"#DYK: In 2015, #cooperatives contributed over 101,567 full-time and part-time jobs to the Canadian labour market. https://t.co/V3VHzscSxW https://t.co/SMCmNzM81p",2019-04-05 18:30 +0000,2744,15,0.00546647230320699,2,0,2,1,3,0,2,0,0,0,0,0,0,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Apr
